analysis_id,1bzn492u07sse5o
pvalue,0.4243592
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
parameter_id,JAX_OFD_016_001
parameter_name,Center permanence time
gene_symbol,Lpgat1
