parameter_id,IMPC_ACS_035_001
pvalue,0.769742
parameter_name,% Pre-pulse inhibition - PPI3
mouse_strain,129SV
gene_symbol,Ddx27
analysis_id,6mitfe64l1tqjd3
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
