analysis_id,gn8uw2271533704
gene_accession_id,MGI:1919107
parameter_id,IMPC_HEM_037_001
parameter_name,Basophil cell count
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1015675
gene_symbol,Slc17a9
