analysis_id,957o60ac718m8sr
mouse_life_stage,Early adult
pvalue,0.3581277
parameter_name,Average duration
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
mouse_strain,C57BL
parameter_id,JAX_ROT_002_001
