analysis_id,gpv264o9622e8vb
gene_symbol,Arnt
mouse_strain,C57BL
parameter_name,Cleft palate
mouse_life_stage,Early adult
pvalue,0.7312793
parameter_id,IMPC_GEP_076_001
gene_accession_id,MGI:88071
