parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
pvalue,0.8323106
mouse_life_stage,Early adult
mouse_strain,129SV
analysis_id,3e526t4347zfavm
parameter_name,Global prepulse inhibition
