gene_symbol,Galnt13
mouse_life_stage,Late adult
analysis_id,9f75k604840f53m
pvalue,0.987774
gene_accession_id,MGI:2139447
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
parameter_id,MGP_BMI_014_001
mouse_strain,C57BL
