parameter_name,Retinal Blood Vessels
mouse_life_stage,Early adult
analysis_id,8z91yt6rd22f94v
gene_symbol,Arnt
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
gene_accession_id,MGI:88071
pvalue,0.5475771
