parameter_name,Femur
gene_accession_id,MGI:1860103
parameter_id,IMPC_XRY_024_001
mouse_life_stage,Early adult
gene_symbol,Slc2a8
analysis_id,mh2682iym1h3gqq
mouse_strain,C57BL
pvalue,0.06320597
