analysis_id,1phurjvilp79p50
mouse_strain,C57BL
parameter_id,IMPC_DXA_006_001
pvalue,0.7388313
gene_symbol,Tiprl
parameter_name,Body length
gene_accession_id,MGI:1915087
mouse_life_stage,E9.5
