gene_symbol,Morn5
analysis_id,d2203l8yl61z172
gene_accession_id,MGI:1922745
pvalue,0.5722355
parameter_name,Resting NK cells - % of NK cells
mouse_strain,C57BL
parameter_id,MGP_MLN_033_001
mouse_life_stage,Early adult
