parameter_name,Basophil differential count
gene_accession_id,MGI:2385156
parameter_id,IMPC_HEM_038_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9529817
gene_symbol,Sdcbp2
analysis_id,j390pk4ac5l3v87
