parameter_name,Hemorrhage
pvalue,0.839885
analysis_id,rf9p04590n2y32k
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_009_002
gene_symbol,Toporsl
mouse_strain,C57BL
gene_accession_id,MGI:1915524
