analysis_id,6vf480lg54i4w9c
parameter_name,Calcium
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Golm2
parameter_id,IMPC_CBC_009_001
gene_accession_id,MGI:2443129
pvalue,0.4539263
