analysis_id,rz4v111es09iaw0
parameter_name,ST
parameter_id,IMPC_ECG_008_001
mouse_life_stage,Early adult
pvalue,0.5104855
mouse_strain,C57BL
gene_accession_id,MGI:106100
gene_symbol,Etfdh
