gene_symbol,Zmynd8
analysis_id,141pd41b2yccmum
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_026_001
mouse_strain,C57BL
pvalue,0.07690934
