parameter_name,White blood cell count
mouse_life_stage,Early adult
analysis_id,see42e9g998q09o
gene_symbol,Cds2
pvalue,0.643813
gene_accession_id,MGI:1332236
parameter_id,IMPC_HEM_001_001
mouse_strain,C57BL
