parameter_name,Lens Opacity
gene_accession_id,MGI:1913284
mouse_strain,C57BL
analysis_id,r739cp70tw9v851
parameter_id,IMPC_EYE_017_001
pvalue,0.2707865
mouse_life_stage,Early adult
gene_symbol,Psmd14
