gene_symbol,S100a3
parameter_id,MGP_MLN_010_001
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of Treg
pvalue,0.7503324
analysis_id,u7ry3s56m6162k7
mouse_life_stage,Early adult
gene_accession_id,MGI:1338849
