gene_symbol,Ola1
analysis_id,5jh3a93345nnwnr
parameter_name,Periphery average speed
parameter_id,HRWLLA_OFD_013_001
pvalue,0.2595421
mouse_strain,C57BL
gene_accession_id,MGI:1914309
mouse_life_stage,Early adult
