gene_symbol,Cds2
analysis_id,ldb355v7098k729
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
parameter_id,MGP_IMM_112_001
parameter_name,Follicular B cells - % of CD45+
pvalue,0.6386069
mouse_strain,C57BL
