parameter_name,Average duration
parameter_id,JAX_ROT_002_001
analysis_id,odu837o50y48kv3
gene_accession_id,MGI:2444113
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5145656
gene_symbol,Nemp2
