analysis_id,cw7z16mqy4r4av3
pvalue,0.3046766
gene_accession_id,MGI:1913506
parameter_id,MGP_IMM_067_001
parameter_name,CD11b-low cDC - % of cDC
mouse_life_stage,Early adult
gene_symbol,Ssr2
mouse_strain,C57BL
