analysis_id,a7nccz6ybvoevc1
pvalue,0.9180944
gene_accession_id,MGI:1915678
parameter_name,CD11b-low cDC - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,STEAP3
parameter_id,MGP_IMM_130_001
