analysis_id,9ioi37lqget34mm
gene_symbol,Tox
parameter_name,Eosinophils - % of CD45+
parameter_id,MGP_IMM_125_001
pvalue,0.383939
gene_accession_id,MGI:2181659
mouse_strain,C57BL
mouse_life_stage,Early adult
