parameter_name,NKT cells (panel A)
mouse_strain,C57BL
parameter_id,IMPC_IMM_004_001
gene_accession_id,MGI:1341628
analysis_id,t836625d97ha26q
mouse_life_stage,Early adult
pvalue,0.8099893
gene_symbol,Atrn
