parameter_name,Stroke Volume
mouse_life_stage,Middle aged adult
analysis_id,1850wq0h8oa5v87
parameter_id,IMPC_ECH_003_001
gene_symbol,Hpca
gene_accession_id,MGI:1336200
pvalue,0.2904416
mouse_strain,C57BL
