parameter_name,White blood cell count
parameter_id,IMPC_HEM_001_001
mouse_life_stage,Early adult
analysis_id,7g68ja553w3020a
gene_symbol,Mapkap1
mouse_strain,C57BL
pvalue,0.3029137
gene_accession_id,MGI:2444554
