analysis_id,23omthet6302z5k
gene_accession_id,MGI:1336200
gene_symbol,Hpca
parameter_name,Heart weight
mouse_life_stage,Early adult
parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
pvalue,0.1861656
