parameter_name,Embryo turning
gene_symbol,Usp37
mouse_life_stage,Early adult
pvalue,0.07071219
analysis_id,44942w46l8k73kq
parameter_id,IMPC_GEL_011_001
gene_accession_id,MGI:2442483
mouse_strain,C57BL
