analysis_id,g7zdept7x8ya81k
gene_symbol,Mecom
mouse_strain,C57BL
parameter_name,Aspartate aminotransferase
gene_accession_id,MGI:95457
pvalue,0.7214587
parameter_id,IMPC_CBC_012_001
mouse_life_stage,E15.5
