gene_symbol,Ap5s1
pvalue,0.8968974
parameter_name,Lens
gene_accession_id,MGI:1916846
parameter_id,IMPC_EYE_016_001
analysis_id,18dk3cqril52m4n
mouse_life_stage,Early adult
mouse_strain,C57BL
