gene_symbol,Eprs1
mouse_strain,C57BL
gene_accession_id,MGI:97838
parameter_name,Forelimb grip strength measurement mean
analysis_id,39b339t8kkj38o6
pvalue,0.5392015
mouse_life_stage,E12.5
parameter_id,IMPC_GRS_008_001
