analysis_id,2f3ya5pd63nxf3a
parameter_name,Cornea vascularisation
mouse_life_stage,Early adult
parameter_id,ESLIM_014_001_008
gene_symbol,Sgip1
mouse_strain,C57BL
pvalue,0.8475694
gene_accession_id,MGI:1920344
