gene_symbol,Cldn19
gene_accession_id,MGI:3033992
mouse_strain,C57BL
parameter_id,MGP_CSD_066_001
mouse_life_stage,Early adult
analysis_id,14ak9ege896jk4y
pvalue,0.1323927
parameter_name,Snout morphology
