gene_symbol,Il1r1
mouse_life_stage,Early adult
pvalue,0.9929272
mouse_strain,C57BL
analysis_id,7l10riy0w1asd36
parameter_name,Resting Treg cells - % of Treg
parameter_id,MGP_MLN_010_001
gene_accession_id,MGI:96545
