analysis_id,iq54tu4wx00yt25
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
parameter_id,MGP_PBI_009_001
mouse_strain,C57BL
gene_symbol,Toporsl
pvalue,0.14954
