parameter_name,Distance travelled - total
gene_symbol,Kif24
parameter_id,IMPC_OFD_020_001
gene_accession_id,MGI:1918345
analysis_id,0977fk47r22q271
pvalue,0.3692672
mouse_life_stage,Early adult
mouse_strain,C57BL
