analysis_id,09toog0vl4c97k7
parameter_name,Edema
mouse_strain,C57BL
gene_symbol,Ahcy
pvalue,0.1529492
gene_accession_id,MGI:87968
mouse_life_stage,E9.5
parameter_id,IMPC_GEO_064_001
