analysis_id,x6474037i8x6458
mouse_life_stage,Early adult
gene_accession_id,MGI:103302
pvalue,0.9546241
parameter_id,IMPC_EYE_062_001
gene_symbol,Bmp7
parameter_name,Right total retinal thickness
mouse_strain,C57BL
