analysis_id,g5bjw7ui54517i2
gene_accession_id,MGI:1914437
gene_symbol,Zmynd19
pvalue,0.8614549
parameter_id,IMPC_IMM_046_001
parameter_name,DN CD44+CD62L- NKT cells
mouse_strain,C57BL
mouse_life_stage,Early adult
