gene_symbol,Arpc2
parameter_name,NKT cells (panel A)
analysis_id,5912b499co9ydm3
pvalue,0.13192
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_004_001
