gene_symbol,Dcaf12
parameter_name,Humerus
mouse_strain,C56BL
analysis_id,p0u1ms0h5h47y06
gene_accession_id,MGI:1916220
parameter_id,IMPC_XRY_021_001
mouse_life_stage,Early adult
pvalue,0.9844908
