analysis_id,9d095hi9p46079w
gene_accession_id,MGI:1924315
gene_symbol,Ints7
parameter_id,MGP_IMM_022_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.2013544
