analysis_id,z80789012d8z736
mouse_life_stage,Early adult
parameter_name,Mean-cell-volume
pvalue,0.2063558
parameter_id,M-G-P_016_001_005
mouse_strain,C57BL
gene_symbol,Tnni1
gene_accession_id,MGI:105073
