analysis_id,xd9y3d1d41as3ck
pvalue,0.6356778
parameter_name,Fusion of vertebrae
parameter_id,M-G-P_006_001_026
gene_accession_id,MGI:1931749
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Pum1
