gene_symbol,Mapkap1
analysis_id,q6299rty950u1r8
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.299373
parameter_name,Total CD8+ T cells - % of ab T cells
gene_accession_id,MGI:2444554
parameter_id,MGP_IMM_013_001
