gene_symbol,Amigo1
gene_accession_id,MGI:2653612
mouse_strain,C57BL
parameter_id,IMPC_EYE_017_001
mouse_life_stage,Early adult
parameter_name,Lens Opacity
analysis_id,2p4jvj4h1792099
pvalue,0.2236026
