parameter_name,Neural tube closure
gene_symbol,Cisd2
analysis_id,rgrm76c2cf75z71
gene_accession_id,MGI:1914256
pvalue,0.8549429
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEL_027_001
