analysis_id,bzkuy5jo4mb1f94
parameter_name,Aspartate aminotransferase
gene_accession_id,MGI:1931322
pvalue,0.1848712
parameter_id,IMPC_CBC_012_001
gene_symbol,Car13
mouse_life_stage,Early adult
mouse_strain,C57BL
