analysis_id,0a5xq69l3921w98
mouse_strain,C57BL
parameter_id,MGP_PBI_038_001
mouse_life_stage,Early adult
pvalue,0.8962278
gene_symbol,Zfp683
gene_accession_id,MGI:3650254
parameter_name,Ly6Clow monocyte number
