parameter_name,Dark side time spent
mouse_strain,C57BL
analysis_id,1u277s4k1792t5n
parameter_id,JAX_LDT_004_001
gene_accession_id,MGI:99501
pvalue,0.3005677
gene_symbol,Fgb
mouse_life_stage,E12.5
