gene_symbol,Kif24
parameter_name,Latency to center entry
mouse_strain,C57BL
gene_accession_id,MGI:1918345
parameter_id,IMPC_OFD_018_001
mouse_life_stage,Early adult
pvalue,0.579087
analysis_id,i62s27a37301006
