analysis_id,8734md639o5o1jl
pvalue,0.632337
mouse_strain,C57BL
gene_accession_id,MGI:2385156
parameter_name,Coat - color - abdomen
parameter_id,IMPC_CSD_007_001
mouse_life_stage,Early adult
gene_symbol,Sdcbp2
