parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:1276578
analysis_id,9s1fj7a532i89z6
pvalue,0.3641754
parameter_name,Retina (combined)
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Gfi1b
