parameter_name,Delayed embryonic development
gene_accession_id,MGI:2651854
mouse_strain,C57BL
parameter_id,IMPC_GEL_063_001
mouse_life_stage,Early adult
gene_symbol,Atg4c
analysis_id,zupl73179g11z6d
pvalue,0.4723842
