parameter_id,M-G-P_014_001_010
parameter_name,lens opacity
pvalue,0.3807484
gene_accession_id,MGI:1914556
gene_symbol,Zc2hc1a
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,9q69h69f67ia157
