analysis_id,n2353486010lf98
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
parameter_id,JAX_OFD_021_001
mouse_strain,C57BL
gene_symbol,Cpa3
pvalue,0.2645489
parameter_name,Number of rears - total
