gene_symbol,Dnajc8
pvalue,0.5884752
gene_accession_id,MGI:1915848
mouse_strain,C57BL
parameter_id,M-G-P_005_001_004
analysis_id,1lx356mm670879t
mouse_life_stage,Early adult
parameter_name,Bone Mineral Density (excluding skull)
