analysis_id,0zxy097aum9l063
mouse_life_stage,E15.5
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Mapkap1
pvalue,0.9144076
parameter_id,MGP_IMM_001_001
gene_accession_id,MGI:2444554
