analysis_id,2964542xnj0812c
mouse_life_stage,Early adult
gene_symbol,Cdin1
parameter_id,MGP_PBI_011_001
pvalue,0.3822553
gene_accession_id,MGI:3026886
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell percentage
