analysis_id,19ervm099n9p6k2
gene_symbol,Abo
parameter_name,18kHz-evoked ABR Threshold
gene_accession_id,MGI:2135738
pvalue,0.1536128
mouse_strain,C57BL
parameter_id,IMPC_ABR_008_001
mouse_life_stage,Early adult
