analysis_id,fi388nfn40swu66
parameter_name,Thyroxine
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
pvalue,0.9752406
gene_symbol,Cd52
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
