parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
parameter_name,% Freezing duration pre-cue-2
analysis_id,7dq22z1a8nhtecl
pvalue,0.9116165
gene_symbol,Morn5
